draw,alpha,beta_area_ri,p_cp,p_ri,delta_cp_minus_ri,odds_ratio_ri_cp
4265,-0.477488,-1.3569745,0.3828454726408423,0.1377075201590895,0.2451379524817528,0.2574384800112944
4266,-0.44117328,-2.0982507,0.39146143565380653,0.07314021263399224,0.3183212230198143,0.12267082875364975
4267,-0.52875243,-1.5906518,0.37080791090219706,0.10722508893498046,0.2635828219672166,0.2037927363292838
4268,-0.46500478,-1.9880066,0.38579922456237237,0.07921861149908574,0.30658061306328666,0.13696818587660756
4269,-0.63944938,-1.324456,0.3453710184008195,0.12304501701060945,0.22232600139021008,0.2659475952361361
4270,-0.86103849,-1.2148627,0.2971224210056838,0.11146125719114591,0.1856611638145379,0.2967507553758191
4271,-0.70835626,-1.214763,0.3299621483228448,0.12751413190418578,0.20244801641865903,0.2967803429010437
4272,-0.30095235,-2.1178005,0.42532468983675875,0.0817538303664055,0.34357085947035326,0.12029592863587693
4273,-0.28130481,-2.055209,0.43013391357680925,0.08814371323501076,0.3419902003417985,0.128066066972313
4274,-0.23663647,-2.1308831,0.44111540555985124,0.08568326079307372,0.35543214476677754,0.11873239496313037
4275,-0.26545206,-1.3529518,0.4340239465389947,0.1654251150507977,0.26859883148819697,0.2584761635302559
4276,-0.14868114,-1.586151,0.46289803808054614,0.1499705390949013,0.31292749898564487,0.20471203391236983
4277,-0.27089457,-1.3523042,0.4326874925987656,0.1647641930265717,0.2679232995721939,0.2586436069060712
4278,-0.21856837,-1.6190932,0.44557440408141885,0.13732808936569924,0.3082463147157196,0.19807823501323168
4279,-0.28916454,-1.7008997,0.42820841380062696,0.12025006635313865,0.3079583474474883,0.18251923760148647
4280,-0.10318739,-2.0468129,0.47422601777749523,0.10433119601960089,0.36989482175789434,0.12914584911341942
4281,-0.16799629,-1.9397881,0.4580994269724093,0.10834251881552102,0.34975690815688826,0.14373440387115807
4282,-0.18222119,-2.3047356,0.4545703389880393,0.07677763104291971,0.37779270794511954,0.099785180367756
4283,-0.28872895,-2.9249196,0.428315069589515,0.03865532191826906,0.38965974767124595,0.053669006727413135
4284,-0.24956207,-3.1795594,0.4379312915464077,0.031397638954396234,0.40653365259201146,0.04160398179788996
4285,-0.2109974,-3.0258704,0.44744548231563336,0.0378016522542756,0.40964383006135774,0.048515574930650576
4286,-0.095314646,-2.9121855,0.4761893621735328,0.04708818944097474,0.42910117273255804,0.05435680316605249
4287,-0.25904838,-2.3184499,0.43559765184317556,0.07060070813722118,0.36499694370595437,0.098426037616813
4288,-0.72660501,-1.4594744,0.3259401762840631,0.10100754633996101,0.22493262994410207,0.23235837019963548
4289,-0.53439851,-2.0552447,0.3694915910003791,0.0698079474073895,0.2996836435929896,0.1280614950953306
4290,-0.58797143,-1.8261511,0.35710043770445254,0.08210210299165893,0.2749983347127936,0.16103217326785313
4291,-0.53726541,-2.0527639,0.36882394657592404,0.06978288024582116,0.29904106633010286,0.1283795844472586
4292,-0.60246608,-1.9461118,0.353779696408243,0.07252208276113101,0.281257613647112,0.14282833848364265
4293,-0.52866736,-1.6688525,0.37082775875132834,0.09997342769898876,0.2708543310523396,0.18846320313173712
4294,-0.57514765,-1.6169524,0.3600498819374717,0.1004621537767486,0.2595877281607231,0.19850273512153943
4295,-0.52347857,-1.7894661,0.3720391881019552,0.09005654822815119,0.281982639873804,0.1670493335017936
4296,-0.48275977,-2.0306158,0.38160065784546043,0.0749258062395815,0.30667485160587893,0.13125466963130694
4297,-0.54811254,-1.5245009,0.3663024249003678,0.11178728438901706,0.2545151405113507,0.21772969864401498
4298,-0.57028272,-1.7221958,0.36117159124623305,0.09174780540757525,0.2694237858386578,0.17867338583520248
4299,-0.3204609,-1.7246055,0.4205634270978607,0.11455184412698116,0.30601158297087955,0.1782433549082045
4300,-0.55867448,-2.0445451,0.36385421490760417,0.06893150086654208,0.2949227140410621,0.12943905841440262
4301,-0.63168077,-1.9876575,0.3471295260556063,0.06790416460523074,0.2792253614503756,0.13701600981748027
4302,-0.71944551,-1.6924114,0.3275150970948424,0.08227300490463779,0.2452420921902046,0.18407510965854584
4303,-0.65114768,-1.2030176,0.3427309568853975,0.13538458675462553,0.20734637013077198,0.30028669820366405
4304,-0.3442673,-1.9017428,0.4147732727210458,0.09569418156462278,0.319079091156423,0.14930817804741486
4305,-0.29083768,-1.9373022,0.4277988015145828,0.09725182589247298,0.33054697562210983,0.1440921577116432
4306,-0.28871959,-2.3274295,0.4283173614925469,0.06810629635040558,0.3602110651421413,0.09754616752240064
4307,-0.31155803,-1.6002448,0.4227344870453916,0.12877844902412985,0.2939560380212618,0.20184709977608706
4308,-0.38184596,-2.2731353,0.4056817512236686,0.06568265516790082,0.3399990960557678,0.10298877265946074
4309,-0.49910444,-1.2812939,0.3777511517921793,0.14425395413992695,0.23349719765225233,0.2776777806316446
